"","time","mag","x","y","YR","MO","DAY","HR","MN","SEC"
"230",770.502810018519,3.2605231,15.598833,41.6145,1983,2,9,21,33,5.35
"231",771.542718425926,4.3205679,13.4145,46.272833,1983,2,10,22,30,33.9
"232",780.089906925926,3,10.5435,44.440167,1983,2,19,11,38,30.24
"233",781.294132462963,3.05,10.447,44.204167,1983,2,20,16,32,35.25
"234",784.442339481481,3.1,15.460167,42.014833,1983,2,23,20,6,0.04
"235",785.620720111111,3.35,10.342333,44.748833,1983,2,25,0,22,52.22
"236",789.240281296296,3.1,15.554,40.717833,1983,2,28,15,15,2.2
"237",809.559032296296,3.5356,13.36,38.4475,1983,3,20,22,54,2.65
"238",813.817158296296,3.0363252,9.6985,45.317167,1983,3,25,5,5,44.18
"239",817.44361762963,3.1,7.2125,45.984,1983,3,28,20,7,50.91
"240",823.061361685185,3.5015297,13.080333,42.6865,1983,4,3,10,57,23.48
"241",823.805980740741,4.3259,12.986,38.3925,1983,4,4,4,49,38.75
"242",831.34580812963,3.8410912,16.5995,37.8665,1983,4,11,17,46,59.3
"243",862.67080912963,4.213,14.5875,37.9855,1983,5,13,1,34,59.94
"244",868.463217537037,3.3329465,12.7475,41.618167,1983,5,18,20,36,3.83
"245",890.585730111111,3.1969,15.13,37.1805,1983,6,9,23,32,28.3
"246",891.670383888889,3.6107725,13.804667,42.140833,1983,6,11,1,34,22.49
"247",898.296623314815,3.2852486,12.872833,46.343,1983,6,17,16,36,9.46
"248",907.368696074074,3.4227,18.114667,38.662,1983,6,26,18,19,56.04
"249",918.337088277778,3.084,10.339,44.614,1983,7,7,17,34,25.98
"250",931.52394112963,4.1,15.005667,37.541167,1983,7,20,22,3,29.76
"251",932.168293981481,4.4177498,11.313333,45.855833,1983,7,21,13,31,21.21
"252",938.399672296296,4.3628605,15.245,40.734167,1983,7,27,19,4,32.4
"253",938.969511259259,3.8743,15.264167,40.73,1983,7,28,8,45,6.94
"254",939.16218587037,3.4227,15.323667,40.665833,1983,7,28,13,22,33.81
"255",942.347765574074,3.6405183,13.824167,43.225167,1983,7,31,17,49,47.19
"256",942.474954074074,3.9836074,10.412167,46.655667,1983,7,31,20,52,56.2
"257",947.265151833333,3.3630431,14.103167,45.982667,1983,8,5,15,50,49.39
"258",954.42187737037,4.755,13.860833,41.709,1983,8,12,19,36,30.32
"259",964.882063555556,3.4006614,12.750167,42.831667,1983,8,23,6,39,10.25
"260",964.96613862963,3.342955,10.686667,45.7675,1983,8,23,8,40,14.98
"261",972.156729907407,4.1001,12.733833,37.685667,1983,8,30,13,14,41.74
"262",972.617668407407,3.773286,10.4965,46.642,1983,8,31,0,18,26.49
"263",977.085354592593,3.6405183,14.160167,40.846667,1983,9,4,11,31,54.73
"264",979.551594018518,3.4227,7.2273333,44.8965,1983,9,6,22,43,17.33
"265",987.515310296296,3.4227,16.376667,39.349833,1983,9,14,21,51,2.49
"266",988.702047407407,3.9872,15.800833,38.394,1983,9,16,2,19,56.93
"267",988.870763685185,3.7614,14.680667,38.699833,1983,9,16,6,22,53.08
"268",990.5968295,3.505682,12.953667,42.539167,1983,9,17,23,48,25.05
"269",991.750730962963,3.4227,13.233667,42.620833,1983,9,19,3,30,2.69
"270",993.291542148148,3.9089216,15.237833,40.837833,1983,9,20,16,28,48.1
"271",994.655848703704,3.2660016,10.374167,44.607,1983,9,22,1,13,24.65
"272",994.762724703704,3.2660016,10.352667,44.639333,1983,9,22,3,47,18.02
"273",997.617575240741,3.6485,13.319667,40.618167,1983,9,25,0,18,17.31
"274",998.041013740741,3.3098,14.696,37.819167,1983,9,25,10,28,2.17
"275",1001.66295918519,4.3396261,14.8585,40.401,1983,9,29,1,23,38.81
"276",1003.08449953704,4.0230301,16.0575,41.695,1983,9,30,11,30,39.91
"277",1006.90345887037,4.063154,13.984,40.700333,1983,10,4,7,9,57.49
"278",1012.76570524074,4.1001,12.306833,39.063667,1983,10,10,3,51,35.67
"279",1018.15831040741,3.8743,14.877,37.5855,1983,10,15,13,16,56.25
"280",1021.59557992593,3.5356,15.557,40.664667,1983,10,18,23,46,36.78
"281",1028.31806935185,3.039676,12.604667,41.927167,1983,10,25,17,6,59.46
"282",1028.89921618519,3.084,15.016333,37.667667,1983,10,26,7,3,50.21
"283",1030.82393940741,3.1,15.056333,38.4005,1983,10,28,5,15,26.37
"284",1043.29229688889,5.0354748,10.342333,44.6525,1983,11,9,16,29,52.38
"285",1046.81640668519,3.1908447,12.5375,42.495667,1983,11,13,5,4,35.1
"286",1048.83604888889,3.3717894,10.866,44.407167,1983,11,15,5,32,52.87
"287",1052.62236933333,3.4227,14.721167,41.250667,1983,11,19,0,25,10.43
"288",1054.04161801852,3.5356,14.792833,39.136667,1983,11,20,10,28,53.88
"289",1058.42664216667,3.2753681,11.071667,47.500333,1983,11,24,19,43,19.68
"290",1080.49494177778,3.05,14.788833,45.256667,1983,12,16,21,21,40.88
"291",1083.95681777778,3.0450542,13.223,46.347167,1983,12,20,8,26,46.95
"292",1084.45264053704,3.237869,14.1755,40.777,1983,12,20,20,20,45.55
"293",1085.00604431481,3.1969,16.238167,38.738167,1983,12,21,9,37,39.51
"294",1093.9524342037,3.0993108,12.1815,44.150167,1983,12,30,8,20,27.88
"295",1094.53513196296,3.1800235,14.083,40.757667,1983,12,30,22,19,32.14
"296",1098.942795,3.2852486,12.382,46.1405,1984,1,4,8,6,34.97
"297",1100.13242562963,3.8743,15.684,40.1505,1984,1,5,12,39,38
"298",1105.27051690741,3.2,6.8051667,44.3525,1984,1,10,15,58,29.76
"299",1106.95542531481,3.1969,7.2193333,44.6655,1984,1,12,8,24,45.14
"300",1110.66038001852,3.0643325,14.463,45.461167,1984,1,16,1,19,53.28
"301",1125.88799675926,3.3,14.3915,40.988333,1984,1,31,6,47,39.6
"302",1137.05546303704,3.7159293,15.5675,42.063333,1984,2,11,10,48,48.68
"303",1139.5958807037,3,14.888,41.213833,1984,2,13,23,47,0.48
"304",1145.91693494444,3.1969,7.2646667,44.954,1984,2,20,7,29,19.12
"305",1147.6677577037,3.3,14.108,40.8765,1984,2,22,1,30,30.37
"306",1151.67132351852,3.601216,11.496333,47.277333,1984,2,26,1,35,38.78
"307",1153.83889396296,3.8692443,13.903333,41.444,1984,2,28,5,36,56.79
"308",1155.32300375926,3.6485,13.180167,46.335833,1984,2,29,17,14,3.54
"309",1162.58726401852,3.4227,15.333167,40.719833,1984,3,7,23,34,35.44
